poiId,latitude,longitude,name,preference
997,-12.8968974,-38.3305804,Yan Ping,restaurant
975,-13.0097406,-38.4949547,Cien Fuegos,restaurant
974,-13.0152149,-38.4885180,RV Lounge,bar
965,-12.9844319,-38.4371269,Tche Picanha,restaurant
960,-12.9715240,-38.4142022,Cabana da Cely,restaurant
869,-13.0091837,-38.5251507,Caranguejo de Sergipe,restaurant
865,-13.0088255,-38.4631681,Cheiro de Pizza,restaurant
863,-13.0054800,-38.5181284,Cantina Volpi,restaurant
862,-13.0046592,-38.5175882,Mariposa  Joia,restaurant
855,-13.0130506,-38.4896700,Fogo de Chao,restaurant
848,-12.9842352,-38.4652032,Baby Beef,restaurant
842,-13.0097114,-38.5301932,Caranguejo do Farol,restaurant
836,-12.9790007,-38.5086834,Salsa,restaurant
815,-13.0093087,-38.5271446,Varanda do Farol,pub
809,-13.0090181,-38.5288425,Burger and Beer,pub
808,-13.0098337,-38.5310167,Terraco do Farol,pub
785,-13.0104845,-38.4901469,Portela Cafe,pub
611,-12.9837138,-38.5202892,Amsterdam Pop Club,nightclub
608,-13.0108728,-38.4941754,San Sebastian,nightclub
606,-13.0090150,-38.5284931,Groove Bar,nightclub
